code_muni,tmax_mean,tmin_mean,pr_mean,rh_mean,rs_mean
1100452,23.696387487109487,16.642587535721667,61.97403804496371,61.18241354916682,11.5721829261023
1100502,24.17613547302328,16.16838395392671,18.760342288595908,58.144304913121054,12.172393371501911
1100601,23.565873968235692,16.481627914897153,39.89402225133406,59.65222797692128,11.61605501724101
1100700,22.872206901720432,15.768009623941122,71.59645111264093,60.80967325481976,11.627044264520103
1100809,24.013133008251657,17.038863361227225,117.63907650933842,61.507113632182,11.580068519968592
1100908,24.5569646580171,16.473991624049038,19.076182094924512,58.17962550677079,12.213206440134371
1100924,23.75790362850601,16.107809316979047,75.68888942924528,57.425239981165234,12.314848804837661
1100940,23.87692821289067,16.790679210587076,76.00236488592684,60.76185371135165,11.513461803027074
1101005,22.83883127395256,15.61471484447589,91.31297450003242,59.40417553292929,11.728003006153019
1101104,23.936870355019128,16.9501633834566,80.43195815894866,61.10736728021482,11.520112761713897
1101203,24.221762438685122,16.12216860367239,20.8098191430037,58.1953206886756,12.231106219048057
1101302,23.645966817078317,16.0800076687245,30.195086054711396,58.984467138061866,11.86832393283689
1101401,23.515400537390246,16.47456806905113,32.978395002949995,60.2566708020315,11.56113609646342
1101435,23.72756565141846,16.067873016891763,22.59959299286773,58.58577176043545,11.896653558985667
1101450,23.886897541547604,15.98403646555585,40.087192642779904,57.75247132771172,12.316386255623659
1101468,24.207436426284726,16.189977790128456,86.40325760210781,57.30219131346984,11.978672795513637
1101476,24.41401549200462,16.358840873491175,19.286548688484135,57.79643184146975,12.406343735809145
1101484,24.334824582413187,16.26061839577108,15.724990641429557,57.89948701754676,12.371013867284036
1101492,24.280583424414967,16.42762998755619,136.52031157192437,58.80164641739162,11.908765651775358
1101500,23.934507598269715,16.173503194913756,62.6557818881036,58.71972045559926,11.892841390395283
1101559,24.02345615359539,16.22193072844699,17.028086536848555,58.516117907603636,11.988614477781239
1101609,23.81723663468841,16.498825887664104,48.932317934922864,59.325867365278356,11.761701058173342
1101708,24.098257865494407,16.29008479551915,19.3373147159962,58.58881556773078,11.98515431775587
1101757,23.92577196759972,16.505834226081138,70.44160600019285,59.56272484457444,11.765113713648258
1101807,24.0160879923879,16.409091834276214,29.770802255882753,58.7086645317594,11.897257363802192
1200013,23.910801591544015,16.490616551211254,25.07025903933116,64.17508839059866,11.799602828214837
1200054,23.23509200250494,15.664755730177035,66.14966450026242,64.30686302839214,11.841734465753808
1200104,23.43114612643288,15.801446142750727,52.52349080727819,64.3340217170662,11.931871552466843
1200138,23.783412816317778,16.347290772533682,48.065815114909064,64.45876744338705,11.819484310487542
1200179,23.80372009349401,16.316169405128683,25.347680222523007,64.47705714051074,11.893861625760579
1200203,23.77103532671474,16.43116708196035,97.77750080278757,64.1576549036564,10.46099349864247
1200252,23.58497074555973,15.931311596158734,22.84909189256063,64.3279799676157,11.93901018160745
1200302,23.58387834813988,16.159154454429803,298.19249539787495,64.50981636928665,11.527798092784142
1200328,23.254860566990196,15.918178651901618,61.44623569786787,64.23317437657886,10.980754889659321
1200336,23.64372187470711,16.289362639669733,51.55163389542674,64.09216340185152,10.303989979223143
1200344,23.589789863151143,16.00693142361624,147.56378735702273,64.44079326338051,11.770382287586326
1200351,23.406726607064687,16.121179475007413,64.5174256093791,64.19937050142686,10.68738811932714
1200385,23.84717287482615,16.385630428607406,26.34084240435913,64.53485669231287,11.854307825127266
1200393,23.596714740146844,16.332964965374046,60.498557169519046,64.18568029366281,10.487572346364711
1200401,23.719423682783063,16.22013059093184,111.38886631918547,64.5245287371209,11.929734199492593
1200427,23.68771262477401,16.336294789558075,39.884304047471026,64.12582482888031,10.319787522319906
1200435,23.440762443511698,15.806700492916113,83.11585761199954,64.44033703247102,11.699195649490163
1200450,23.899598732765572,16.436232684442484,40.41538084718814,64.58738727048652,11.838519015769199
1200500,23.577137421291898,16.033416288279593,258.8068846962151,64.4218238140828,11.87288010938469
1200609,23.66231472847957,16.40907253314492,218.48438986546293,64.33334298866927,11.130984815362265
1200708,23.633539251449733,16.065800503141162,64.31036664206181,64.35357276720165,11.938912067192874
1200807,23.896594802048845,16.442325475717514,41.77472175340225,64.56184015543738,11.786326866213258
1300029,24.352590736430226,17.547123274538542,144.60689887249077,65.31134090332114,11.670165651993818
1300060,24.046660050977145,17.38140627002877,119.67624371319292,64.84110777022124,11.306984400297974
1300086,24.213770733547218,18.0629209023791,76.96614131680067,63.049383796768986,10.83323847898446
1300102,24.27099055987936,17.953004662196715,167.62527404391304,63.165902665278445,10.892176534355281
1300144,24.136369303393533,16.79885202340187,722.8757665934588,60.828268420948106,10.503883176303946
1300201,23.8723649519535,16.99263101742721,940.3644746640346,64.81306799732043,10.809075568758931
1300300,24.18061517547169,18.25704333319071,152.47110491076802,61.30263894581249,11.71138757743606
1300409,23.342155959334733,16.348370736333685,1898.212421893651,64.05693232215626,12.595395227693055
1300508,23.974943638167087,17.938776038604583,109.64225840428358,62.50261447283094,12.592213771161688
1300607,23.83915590812308,17.154412217700564,206.51110131584193,65.03785636072253,10.923336967080393
1300631,24.38544733833714,18.03412361652044,369.3270438833158,62.938894751101316,10.981854144938534
1300680,23.96878513689874,17.873026828976794,67.33914552947164,62.33498591080553,12.226657307413822
1300706,23.915980128650094,16.45368766488219,250.0331773577647,64.60585612940116,11.740914414501246
1300805,24.184399562105188,17.91386264090387,708.1050000266856,61.62112551794645,11.219637264877978
1300839,24.1953105345552,18.10709752666681,214.5516305204281,63.452851549680716,11.049431679277362
1300904,24.202908635825935,17.28829855507266,368.27579195103806,63.631110544880514,11.899765515997306
1301001,24.118271117828822,17.19097628565986,459.47488650237443,65.01485438821531,11.610548050977954
1301100,24.271393540761316,18.55583402504401,133.447690711142,61.3932763719494,11.422048975805371
1301159,24.279856835465722,18.535837632800703,66.26388440951006,60.77406192442813,11.428711400721484
1301209,24.353053768537062,17.67017048307008,1018.1347092757749,64.71808900899241,11.715639227975002
1301308,24.34598831839405,17.83791554914219,417.63485397535027,64.45188080577154,11.414746344981479
1301407,23.94100908907961,16.690001726920055,196.85660979811007,64.80013040246818,11.16250589585474
1301506,23.912114545597998,16.57801464472858,112.00304667853001,64.62293289405045,11.314992510390079
1301605,24.30425552169447,17.385448747957255,278.5983555079014,64.7410539506799,11.65962587337626
1301654,23.83830590011823,16.46840095748259,90.60610561996135,64.10676176859964,10.429742555292497
1301704,24.42566641534683,17.38000232447376,448.4757174491786,63.01420502511548,11.266818225226352
1301803,23.902201891015395,16.594138567252827,148.8820901973639,64.3994147020825,10.883288836891506
1301852,24.236685893817548,18.570782724934073,68.97614886762045,61.42853387717175,11.261725954602127
1301902,23.939368820010287,18.105559065028537,167.19728284033295,62.0162503157563,11.67074814480795
1301951,24.095781193600153,16.920647330940678,393.13093807792615,64.92080605295902,11.498809068796046
1302009,23.813803546078187,17.94077364023023,94.4426167530246,62.21222709829836,11.613479996878356
1302108,23.990196192418466,17.164974272600922,1105.6301748591018,64.68655210464074,11.513646708989402
1302207,24.295076443582005,17.37097258438212,379.3367192027614,64.71980425341168,11.668767863080046
1302306,24.096843277423385,17.14015966388856,1186.9654319663075,65.20757543942739,11.578835441577882
1302405,24.023392586413543,16.921222463206437,775.4236569764365,63.83785703960159,12.000573299344227
1302504,24.19551128335297,18.34074519534416,156.5207694125759,62.3790413406918,11.127320115135308
1302553,24.2554292793871,18.444258889694975,94.15551392838923,61.97906875162617,11.279045543379802
1302603,24.139358497334058,18.325828475536596,202.4717580435111,61.23297712037191,11.249356119189533
1302702,24.527732637435406,17.546687408512188,796.4242606979643,62.76238791130378,10.786225391980349
1302801,24.458685855276254,17.631772012821454,374.9047995513681,65.34163498483214,11.742608549103945
1302900,23.930914130079355,17.45448030547147,614.6173518177804,61.99294058775678,11.77226574593027
1303007,23.748012072341123,17.632988341380035,263.3919750186958,62.309180313117906,12.302512993310259
1303106,23.996333307214957,18.009964428273655,116.74750619203634,61.90342606813975,11.971480565862686
1303205,24.288568605472083,18.0505092539278,681.6723005914735,63.39387860114166,11.605298351811271
1303304,24.35591320130327,17.443238998750147,688.0300448047938,61.75671957755033,10.785601184751506
1303403,23.87469617644666,18.017149762963186,124.80153701234953,63.09617384876444,12.649040402940742
1303502,24.018509670042654,16.697843444817853,502.03993010385005,64.67692992570394,11.687947570009621
